series,race,seed,mode,style,driver,totalRaceTime,fastestLap,pitStops,finalTyre
BASELINE,Race1,1,NO_CHANGE,ONTOLOGY,Verstappen,4848.812,89.802,0,MediumTyre
BASELINE,Race1,1,ONE_STOP,ONTOLOGY,Verstappen,4831.230,89.802,1,MediumTyre
BASELINE,Race1,1,RANDOM,ONTOLOGY,Verstappen,4811.275,89.319,3,MediumTyre
BASELINE,Race1,1,AGENTS,ONTOLOGY,Verstappen,4794.291,89.441,7,IntermediateTyre
BASELINE,Race1,2,NO_CHANGE,ONTOLOGY,Verstappen,4844.185,89.452,0,MediumTyre
BASELINE,Race1,2,ONE_STOP,ONTOLOGY,Verstappen,4825.233,89.452,1,MediumTyre
BASELINE,Race1,2,RANDOM,ONTOLOGY,Verstappen,4799.043,89.452,3,MediumTyre
BASELINE,Race1,2,AGENTS,ONTOLOGY,Verstappen,4799.005,89.452,3,MediumTyre
BASELINE,Race1,3,NO_CHANGE,ONTOLOGY,Verstappen,4847.319,89.840,0,MediumTyre
BASELINE,Race1,3,ONE_STOP,ONTOLOGY,Verstappen,4827.773,89.443,1,MediumTyre
BASELINE,Race1,3,RANDOM,ONTOLOGY,Verstappen,4818.724,89.736,3,MediumTyre
BASELINE,Race1,3,AGENTS,ONTOLOGY,Verstappen,4801.483,89.607,3,MediumTyre
BASELINE,Race1,4,NO_CHANGE,ONTOLOGY,Verstappen,4842.539,89.682,0,MediumTyre
BASELINE,Race1,4,ONE_STOP,ONTOLOGY,Verstappen,4823.626,89.682,1,MediumTyre
BASELINE,Race1,4,RANDOM,ONTOLOGY,Verstappen,4802.819,89.482,3,MediumTyre
BASELINE,Race1,4,AGENTS,ONTOLOGY,Verstappen,4797.038,89.534,3,MediumTyre
BASELINE,Race1,5,NO_CHANGE,ONTOLOGY,Verstappen,4842.665,89.865,0,MediumTyre
BASELINE,Race1,5,ONE_STOP,ONTOLOGY,Verstappen,4824.774,89.650,1,MediumTyre
BASELINE,Race1,5,RANDOM,ONTOLOGY,Verstappen,4798.691,89.393,3,MediumTyre
BASELINE,Race1,5,AGENTS,ONTOLOGY,Verstappen,4794.964,89.308,5,MediumTyre
BASELINE,Race1,6,NO_CHANGE,ONTOLOGY,Verstappen,4841.504,89.567,0,MediumTyre
BASELINE,Race1,6,ONE_STOP,ONTOLOGY,Verstappen,4823.361,89.567,1,MediumTyre
BASELINE,Race1,6,RANDOM,ONTOLOGY,Verstappen,4812.405,89.567,3,MediumTyre
BASELINE,Race1,6,AGENTS,ONTOLOGY,Verstappen,4797.580,89.455,3,MediumTyre
BASELINE,Race1,7,NO_CHANGE,ONTOLOGY,Verstappen,4843.311,89.428,0,MediumTyre
BASELINE,Race1,7,ONE_STOP,ONTOLOGY,Verstappen,4824.708,89.428,1,MediumTyre
BASELINE,Race1,7,RANDOM,ONTOLOGY,Verstappen,4823.593,89.295,3,MediumTyre
BASELINE,Race1,7,AGENTS,ONTOLOGY,Verstappen,4791.522,89.366,6,MediumTyre
BASELINE,Race1,8,NO_CHANGE,ONTOLOGY,Verstappen,4845.245,89.781,0,MediumTyre
BASELINE,Race1,8,ONE_STOP,ONTOLOGY,Verstappen,4826.142,89.426,1,MediumTyre
BASELINE,Race1,8,RANDOM,ONTOLOGY,Verstappen,4809.589,89.333,3,MediumTyre
BASELINE,Race1,8,AGENTS,ONTOLOGY,Verstappen,4801.975,89.698,3,MediumTyre
BASELINE,Race1,9,NO_CHANGE,ONTOLOGY,Verstappen,4842.917,89.315,0,MediumTyre
BASELINE,Race1,9,ONE_STOP,ONTOLOGY,Verstappen,4825.913,89.315,1,MediumTyre
BASELINE,Race1,9,RANDOM,ONTOLOGY,Verstappen,4818.719,89.315,2,MediumTyre
BASELINE,Race1,9,AGENTS,ONTOLOGY,Verstappen,4788.586,89.315,8,MediumTyre
BASELINE,Race1,10,NO_CHANGE,ONTOLOGY,Verstappen,4845.340,89.371,0,MediumTyre
BASELINE,Race1,10,ONE_STOP,ONTOLOGY,Verstappen,4828.234,89.292,1,MediumTyre
BASELINE,Race1,10,RANDOM,ONTOLOGY,Verstappen,4799.994,89.371,3,MediumTyre
BASELINE,Race1,10,AGENTS,ONTOLOGY,Verstappen,4799.071,89.371,3,MediumTyre
BASELINE,Race2,1,NO_CHANGE,ONTOLOGY,Leclerc,5227.486,90.159,0,MediumTyre
BASELINE,Race2,1,ONE_STOP,ONTOLOGY,Leclerc,5209.639,89.724,1,WetTyre
BASELINE,Race2,1,RANDOM,ONTOLOGY,Leclerc,5225.901,90.071,1,MediumTyre
BASELINE,Race2,1,AGENTS,ONTOLOGY,Leclerc,5224.145,89.967,1,WetTyre
BASELINE,Race2,2,NO_CHANGE,ONTOLOGY,Leclerc,5233.538,90.029,0,MediumTyre
BASELINE,Race2,2,ONE_STOP,ONTOLOGY,Leclerc,5216.376,89.834,1,WetTyre
BASELINE,Race2,2,RANDOM,ONTOLOGY,Leclerc,5197.967,89.834,3,WetTyre
BASELINE,Race2,2,AGENTS,ONTOLOGY,Leclerc,5207.306,89.944,4,WetTyre
BASELINE,Race2,3,NO_CHANGE,ONTOLOGY,Leclerc,5233.507,90.119,0,MediumTyre
BASELINE,Race2,3,ONE_STOP,ONTOLOGY,Leclerc,5215.001,89.909,1,WetTyre
BASELINE,Race2,3,RANDOM,ONTOLOGY,Leclerc,5192.687,90.004,3,WetTyre
BASELINE,Race2,3,AGENTS,ONTOLOGY,Leclerc,5229.779,90.119,1,WetTyre
BASELINE,Race2,4,NO_CHANGE,ONTOLOGY,Leclerc,5231.697,89.738,0,MediumTyre
BASELINE,Race2,4,ONE_STOP,ONTOLOGY,Leclerc,5213.981,89.738,1,IntermediateTyre
BASELINE,Race2,4,RANDOM,ONTOLOGY,Leclerc,5192.188,89.622,3,IntermediateTyre
BASELINE,Race2,4,AGENTS,ONTOLOGY,Leclerc,5181.149,89.738,9,WetTyre
BASELINE,Race2,5,NO_CHANGE,ONTOLOGY,Leclerc,5229.494,90.382,0,MediumTyre
BASELINE,Race2,5,ONE_STOP,ONTOLOGY,Leclerc,5211.062,90.200,1,WetTyre
BASELINE,Race2,5,RANDOM,ONTOLOGY,Leclerc,5179.045,89.641,3,WetTyre
BASELINE,Race2,5,AGENTS,ONTOLOGY,Leclerc,5227.820,90.358,1,WetTyre
BASELINE,Race2,6,NO_CHANGE,ONTOLOGY,Leclerc,5226.400,89.651,0,MediumTyre
BASELINE,Race2,6,ONE_STOP,ONTOLOGY,Leclerc,5208.395,89.651,1,WetTyre
BASELINE,Race2,6,RANDOM,ONTOLOGY,Leclerc,5189.252,89.651,3,WetTyre
BASELINE,Race2,6,AGENTS,ONTOLOGY,Leclerc,5185.876,89.651,7,MediumTyre
BASELINE,Race2,7,NO_CHANGE,ONTOLOGY,Leclerc,5233.865,90.294,0,MediumTyre
BASELINE,Race2,7,ONE_STOP,ONTOLOGY,Leclerc,5216.291,89.605,1,WetTyre
BASELINE,Race2,7,RANDOM,ONTOLOGY,Leclerc,5216.092,89.935,2,WetTyre
BASELINE,Race2,7,AGENTS,ONTOLOGY,Leclerc,5230.542,90.115,1,WetTyre
BASELINE,Race2,8,NO_CHANGE,ONTOLOGY,Leclerc,5228.388,89.914,0,MediumTyre
BASELINE,Race2,8,ONE_STOP,ONTOLOGY,Leclerc,5209.630,89.914,1,IntermediateTyre
BASELINE,Race2,8,RANDOM,ONTOLOGY,Leclerc,5190.332,89.816,3,MediumTyre
BASELINE,Race2,8,AGENTS,ONTOLOGY,Leclerc,5183.514,89.819,6,IntermediateTyre
BASELINE,Race2,9,NO_CHANGE,ONTOLOGY,Leclerc,5228.303,89.906,0,MediumTyre
BASELINE,Race2,9,ONE_STOP,ONTOLOGY,Leclerc,5210.386,89.906,1,WetTyre
BASELINE,Race2,9,RANDOM,ONTOLOGY,Leclerc,5200.443,89.906,2,WetTyre
BASELINE,Race2,9,AGENTS,ONTOLOGY,Leclerc,5224.761,89.906,1,WetTyre
BASELINE,Race2,10,NO_CHANGE,ONTOLOGY,Leclerc,5233.409,89.826,0,MediumTyre
BASELINE,Race2,10,ONE_STOP,ONTOLOGY,Leclerc,5215.308,89.826,1,IntermediateTyre
BASELINE,Race2,10,RANDOM,ONTOLOGY,Leclerc,5200.485,89.738,3,IntermediateTyre
BASELINE,Race2,10,AGENTS,ONTOLOGY,Leclerc,5215.096,89.826,2,IntermediateTyre
BASELINE,Race3,1,NO_CHANGE,ONTOLOGY,Antonelli,3708.749,91.338,0,MediumTyre
BASELINE,Race3,1,ONE_STOP,ONTOLOGY,Antonelli,3685.484,91.302,1,IntermediateTyre
BASELINE,Race3,1,RANDOM,ONTOLOGY,Antonelli,3708.749,91.338,0,MediumTyre
BASELINE,Race3,1,AGENTS,ONTOLOGY,Antonelli,3691.192,91.076,4,WetTyre
BASELINE,Race3,2,NO_CHANGE,ONTOLOGY,Antonelli,3710.903,91.353,0,MediumTyre
BASELINE,Race3,2,ONE_STOP,ONTOLOGY,Antonelli,3688.317,91.333,1,IntermediateTyre
BASELINE,Race3,2,RANDOM,ONTOLOGY,Antonelli,3688.140,91.100,3,IntermediateTyre
BASELINE,Race3,2,AGENTS,ONTOLOGY,Antonelli,3694.430,91.034,3,IntermediateTyre
BASELINE,Race3,3,NO_CHANGE,ONTOLOGY,Antonelli,3704.556,91.249,0,MediumTyre
BASELINE,Race3,3,ONE_STOP,ONTOLOGY,Antonelli,3681.466,90.950,1,IntermediateTyre
BASELINE,Race3,3,RANDOM,ONTOLOGY,Antonelli,3671.760,91.061,3,IntermediateTyre
BASELINE,Race3,3,AGENTS,ONTOLOGY,Antonelli,3677.022,90.996,3,IntermediateTyre
BASELINE,Race3,4,NO_CHANGE,ONTOLOGY,Antonelli,3702.037,91.109,0,MediumTyre
BASELINE,Race3,4,ONE_STOP,ONTOLOGY,Antonelli,3679.970,91.109,1,IntermediateTyre
BASELINE,Race3,4,RANDOM,ONTOLOGY,Antonelli,3672.121,90.936,3,IntermediateTyre
BASELINE,Race3,4,AGENTS,ONTOLOGY,Antonelli,3669.294,90.959,6,MediumTyre
BASELINE,Race3,5,NO_CHANGE,ONTOLOGY,Antonelli,3707.096,91.174,0,MediumTyre
BASELINE,Race3,5,ONE_STOP,ONTOLOGY,Antonelli,3683.639,91.174,1,WetTyre
BASELINE,Race3,5,RANDOM,ONTOLOGY,Antonelli,3673.724,91.097,3,WetTyre
BASELINE,Race3,5,AGENTS,ONTOLOGY,Antonelli,3670.154,90.949,10,WetTyre
BASELINE,Race3,6,NO_CHANGE,ONTOLOGY,Antonelli,3703.428,90.940,0,MediumTyre
BASELINE,Race3,6,ONE_STOP,ONTOLOGY,Antonelli,3680.912,90.940,1,IntermediateTyre
BASELINE,Race3,6,RANDOM,ONTOLOGY,Antonelli,3681.335,90.940,1,IntermediateTyre
BASELINE,Race3,6,AGENTS,ONTOLOGY,Antonelli,3690.097,90.940,4,MediumTyre
BASELINE,Race3,7,NO_CHANGE,ONTOLOGY,Antonelli,3708.209,91.005,0,MediumTyre
BASELINE,Race3,7,ONE_STOP,ONTOLOGY,Antonelli,3685.461,91.005,1,IntermediateTyre
BASELINE,Race3,7,RANDOM,ONTOLOGY,Antonelli,3678.589,91.005,2,WetTyre
